Genetic_ID	Master_ID	Skeletal_code	Skeletal_element	Year_data	Publication	Method_for	Date_mean	Date_standard	Full_Date	Age_at	Group_ID	Locality	Political_Entity	Lat.	Long.	Pulldown_Strategy	Data_source	No._Libraries	1240k_coverage	SNPs_hit_1240k	SNPs_hit_HO	Molecular_Sex	Family_ID	Y_haplogroup_terminal	Y_haplogroup_ISOGG_curation	mtDNA_coverage	mtDNA_haplogroup	mtDNA_match	Damage_rate	Sex_ratio	Library_type	Libraries	ASSESSMENT	ASSESSMENT_WARNINGS	Unnamed:_35
I2565	I2565	50875_1238, Companion	tooth	2018	PattersonNature2021 (higher coverage of previously published individual in OlaldeNature2018)	Direct: IntCal20	4237	77	2456-2146 calBCE (3829±38 BP, OxA-13562)	20-25	England_BellBeaker	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	5	0.052	56976	30208	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	91.406422	W1+119	[0.967,0.986]	0.146	0.3569869	ds.half,ds.half,ds.half,ds.half,ss.half	S2565.E1.L2,S2565.E1.L3,S2565.E1.L4,S2565.E1.L5,S20159.Y1.E1.L1	PASS	..	
I4950	I4950	DZSWS:C.36	tooth	2018	OlaldeNature2018	Context: Archaeological - Period	4250	289	2800-1800 BCE	..	England_BellBeaker	England, Wiltshire, Upavon, RFC Central Flying School	United Kingdom	51.289876	-1.807234	Repulldown on 3.2M snpset	1240K	1	1.448	762256	406123	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	377.959261	U5a2d1	[0.983,0.997]	0.056	..	ds.half	S4950.E1.L1	PASS	..	
I5382	I5382	SB 445B3 (Sk 4)	petrous	2018	OlaldeNature2018	Direct: IntCal20	4070	67	2282-1980 calBCE (3725±40 BP, OxA-8728)	..	England_BellBeaker	England,  County Durham, Stockton-on-Tees, Windmill Fields	United Kingdom	54.522812	-1.308134	Repulldown on 3.2M snpset	1240K	1	0.366	314908	169354	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	173.188967	T2b	[0.991,0.999]	0.137	..	ds.half	S5382.L1	PASS	..	
I5513	I5513	DZSWS:X146.1 b	petrous	2018	OlaldeNature2018	Context: Archaeological - Period	4250	289	2800-1800 BCE	..	England_BellBeaker	England, North Ablington, Figheldean	United Kingdom	51.22	-1.77	Repulldown on 3.2M snpset	1240K	1	2.463	799371	430301	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	120	V	[0.996,1.000]	0.076	0.433	ds.half	S5513.E1.L1	PASS	..	
I6775	I6775	SB 615A (Skeleton No. 2)	petrous	2018	OlaldeNature2018	Context: Archaeological - Period	4150	173	2500-1900 BCE	..	England_BellBeaker	England, Somerset, Stogursey, Wick Barrow	United Kingdom	51.121284	-3.075648	Repulldown on 3.2M snpset	1240K	1	1.641019	656227	356734	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	213	H1	[0.978,0.992]	0.085	0.431	ds.half	S6775.L1	PASS	Xcontam=[0.007,0.016]	
I6776	I6776	SB 616A	..	2021	PattersonNature2021	Context: Archaeological - Period	4150	115	2400-2000 BCE	..	England_BellBeaker	England, Somerset, Storgoursey, Wick Barrow	United Kingdom	51.1807	-3.1413	Repulldown on 3.2M snpset	1240K	1	0.224078	219433	117720	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	91.8	R	[0.906,0.938]	0.08	0.436	ds.half	S6776.L1	PASS	mtcontam=[0.906,0.938]	
I1767	I1767	Sk2 (IWF 96, Cemetery, Sk 2)	tooth (molar)	2018	OlaldeNature2018	Direct: IntCal20	4045	58	2202-1978 calBCE (3705±35 BP, OxA-8651)	..	England_BellBeaker_highEEF	England,  County Durham, Stockton-on-Tees, Windmill Fields	United Kingdom	54.522812	-1.308134	Repulldown on 3.2M snpset	1240K	1	1.799	715472	388053	M	n/a (no relatives detected)	I-Y3709	I2a1b1a1a1	463	U5a1a1	[0.993,0.999]	0.074	0.426	ds.half	S1767.E1.L1	PASS	..	
I5379	I5379	SB 424B3 (F1)	petrous	2018	OlaldeNature2018	Direct: IntCal20	4333	54	2468-2294 calBCE (3900±30 BP, SUERC-32210)	..	England_BellBeaker_highEEF	England, Dorset, Sixpenny Handley, Canada Farm	United Kingdom	50.919204	-2.015441	Repulldown on 3.2M snpset	1240K	1	1.899	684692	372958	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	203.139296	HV0+195	[0.984,1]	0.117	..	ds.half	S5379.L1	PASS	..	
I1765_d	I1765	Sk7 (IWF 96, Cemetery, Sk 7)	tooth (molar)	2018	OlaldeNature2018	Direct: IntCal20	4156	75	2344-2039 calBCE (3780±40 BP, OxA-8729)	..	England_BellBeaker	England,  County Durham, Stockton-on-Tees, Windmill Fields	United Kingdom	54.522812	-1.308134	Repulldown on 3.2M snpset	1240K	1	0.011	35017	18663	U	n/a (no relatives detected)	n/a  (sex unknown)	n/a  (sex unknown)	17.305571	N1a1a1a2	[0.966,0.993]	..	..	ds.half	S1765.E1.L1	PASS	..	
I2454	I2454	OVE08 feature F.1080 skeleton 5487	petrous	2018	OlaldeNature2018	Direct: IntCal20	4042	50	2199-1982 calBCE (3703±28 BP, OxA-24595)	young adult 	England_BellBeaker_lowEEF	England, Needingworth Quarry, Over Narrows	United Kingdom	52.34	0.03	Repulldown on 3.2M snpset	1240K	2	5.168	818361	447341	F	n/a (no relatives detected)	n/a (female)	n/a (female)	434.035548	R1a1a	[0.983,0.996]	..	..	ds.half,ds.half	S2454.E1.L1,S2454.E2.L1	PASS	..	
I2459	I2459	85684_62014 (pit burial)	petrous	2018	OlaldeNature2018	Direct: IntCal20	4231	68	2453-2148 calBCE (3829±30 BP, SUERC-54823)	..	England_BellBeaker_lowEEF	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	1	1.33	518600	286009	F	n/a (no relatives detected)	n/a (female)	n/a (female)	334	T2a1a	[0.991,0.997]	0.076	0.014	ds.half	S2459.E1.L1	PASS	..	
I5376	I5376	SB 411B3 (A13603)	petrous	2018	OlaldeNature2018	Direct: IntCal20	4216	68	2452-2143 calBCE (3819±33 BP, OxA-14728)	..	England_BellBeaker_lowEEF	England, London, Syon Reach, River Thames Skulls	United Kingdom	51.474176	-0.309898	Repulldown on 3.2M snpset	1240K	1	0.131	139411	75464	F	n/a (no relatives detected)	n/a (female)	n/a (female)	19.188002	H6a	[0.934,0.98]	0.1	..	ds.half	S5376.L1	PASS	..	
I6774	I6774	SB 613A (R2315/3)	petrous	2018	OlaldeNature2018	Direct: IntCal20	4121	63	2287-2041 calBCE (3760±30 BP, SUERC-74755)	..	England_BellBeaker_lowEEF	England, Sussex, Brighton, Ditchling Road	United Kingdom	50.862516	-0.121506	Repulldown on 3.2M snpset	1240K	1	1.14817	584946	318961	M	n/a (no relatives detected)	R-S461	R1b1a1b1a1a2c	91.8	H4a1a1a	[0.970,0.985]	0.088	0.441	ds.half	S6774.L1	PASS	..	
I2419	I2419	56240_10288 (NZA-32486, timber chamber)	bone (long bone)	2021	PattersonNature2021	Direct: IntCal20	4199	52	2393-2144 calBCE (3812±25 BP, NZA-32486)	45-55	England_BellBeaker_mediumEEF	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	7	0.074834	84066	45812	F	n/a (no relatives detected)	n/a (female)	n/a (female)	12.795099	H1b	[0.942,0.999]	..	..	ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half	S2419.E1.L1,S2419.E1.L2,S2419.E1.L3,S2419.E1.L4,S2419.E1.L5,S2419.E1.L6,S2419.E1.L7	PASS	..	
I6680	I6680	UK_LH10, LH-02, Cairn 2, Burial 10	petrous	2018	OlaldeNature2018	Direct: IntCal20	3671	69	1878-1617 calBCE (3420±38 BP, OxA-5555/6)	..	England_BellBeaker_mediumEEF	England, Northumberland, Low Hauxley	United Kingdom	55.309983	-1.553328	Repulldown on 3.2M snpset	1240K	1	3.77803	872052	471362	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	93.7	H1+16189	[0.985,0.995]	0.094	0.417	ds.half	S6680.E1.L1	PASS	..	
I6679	I6679	UK_LH3, LH-01, Cair 1, Burial 3	tooth	2018	OlaldeNature2018	Direct: IntCal20	3936	57	2129-1889 calBCE (3621±34 BP, OxA-5553/4)	..	England_BellBeaker_o	England, Northumberland, Low Hauxley	United Kingdom	55.309983	-1.553328	Repulldown on 3.2M snpset	1240K	1	0.171488	183441	97623	M	n/a (no relatives detected)	R-L151	R1b1a1b1a1a	247	J1c1b1	[0.997,1.000]	0.061	0.416	ds.half	S6679.E1.L1	PASS	..	
I6778	I6778	SB 619A (G.52 Inhumation 4)	petrous	2018	OlaldeNature2018	Context: Archaeological - Period	4150	173	2500-1900 BCE	..	England_BellBeaker_o	England, Wiltshire, Wilsford	United Kingdom	51.147052	-1.812529	Repulldown on 3.2M snpset	1240K	1	1.234384	578497	314878	F	n/a (no relatives detected)	n/a (female)	n/a (female)	175	K1a26	[0.984,0.993]	0.077	0.012	ds.half	S6778.L1	PASS	..	
I12786	I12786	TB 114, Sk 1101	petrous	2021	PattersonNature2021	Direct on associated fauna: Based on direct date of a cattle skull grave good of 2289-2052 calBCE (3769±27 BP, SUERC-80166) calibrated as IntCal20	4137	58	2289-2052 calBCE (3769±27 BP, SUERC-80166)	..	England_C_EBA	England, Gloucestershire, Lechlade-on-Thames, Lechlade Memorial Hall/Skate Park	United Kingdom	51.697969	-1.692092	Repulldown on 3.2M snpset	1240K	1	1.136588	655553	360132	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	89.69	J1c2	[0.965,0.988]	0.111	0.387	ds.half	S12786.Y1.E1.L1	PASS	..	
I14543	I14543	TB 162, R2315/2	petrous	2021	PattersonNature2021	Context: Archaeological - Period	3975	245	2450-1600 BCE	..	England_C_EBA	England, Sussex, Brighton, Ditchling Road	United Kingdom	50.851087	-0.134783	Repulldown on 3.2M snpset	1240K	1	2.398684	751003	415583	F	n/a (no relatives detected)	n/a (female)	n/a (female)	362.4	K1a4a1g	[0.987,0.998]	0.081	0.007	ds.half	S14543.Y1.E1.L1	PASS	..	
I14553	I14553	TB 172, R4267	petrous	2021	PattersonNature2021	Direct: IntCal20	3807	59	1954-1749 calBCE (3535±33 BP, SUERC-76360)	..	England_C_EBA	England, Sussex, Brighton, Roedean Crescent	United Kingdom	50.815565	-0.091565	Repulldown on 3.2M snpset	1240K	1	2.020006	755415	417200	M	n/a (no relatives detected)	R-Z251	R1b1a1b1a1a2c1	293.4	H5c	[0.989,1.000]	0.111	0.395	ds.half	S14553.Y1.E1.L1	PASS	Xcontam=[0.009,0.016]	
I16394	I16394	TB 213; A10.78 (A51.15)	petrous	2021	PattersonNature2021	Context: Archaeological - Period	3950	231	2400-1600 BCE	..	England_C_EBA	England, North Yorkshire, Grassington, 3 Barrow Sites	United Kingdom	54.082717	-1.996908	Repulldown on 3.2M snpset	1240K	1	0.026603	29217	15699	M	n/a (no relatives detected)	R-L754	R1b	6.331	K1c1	[0.901,0.977]	0.103	0.362365591	ss.half	S16394.Y1.E1.L1	PASS	mtcontam=[0.901,0.977]	
I16395	I16395	TB 214; A10.60	petrous	2021	PattersonNature2021	Context: Archaeological - Period	3950	231	2400-1600 BCE	..	England_C_EBA	England, North Yorkshire, Grassington, 3 Barrow Sites	United Kingdom	54.082717	-1.996908	Repulldown on 3.2M snpset	1240K	1	0.116004	121867	65023	F	n/a (no relatives detected)	n/a (female)	n/a (female)	19.66	U5b1	[0.944,0.984]	0.107	0.012776831	ss.half	S16395.Y1.E1.L1	PASS	..	
I16396	I16396	TB 215; A10.59	petrous	2021	PattersonNature2021	Context: Archaeological - Period	3950	231	2400-1600 BCE	..	England_C_EBA	England, North Yorkshire, Grassington, 3 Barrow Sites	United Kingdom	54.082717	-1.996908	Repulldown on 3.2M snpset	1240K	1	0.17376	173488	92712	F	n/a (no relatives detected)	n/a (female)	n/a (female)	35.09	K1a4a1	[0.982,0.997]	0.079	0.011457758	ss.half	S16396.Y1.E1.L1	PASS	qpAdm outlier, damage.ss.half=0.079	
I16400	I16400	TB 220; A10.62	petrous	2021	PattersonNature2021	Context: Archaeological - Period	3900	260	2400-1500 BCE	..	England_C_EBA	England, North Yorkshire, Grassington, 3 Barrow Sites	United Kingdom	54.082717	-1.996908	Repulldown on 3.2M snpset	1240K	1	0.64206	446288	240506	M	n/a (no relatives detected)	R-S461	R1b1a1b1a1a2c	115.4	U3a1	[0.984,0.997]	0.077	0.428863723	ss.half	S16400.Y1.E1.L1	PASS	damage.ss.half=0.077	
I16424	I16424	TB 136; Sk 1	petrous	2021	PattersonNature2021	Direct: IntCal20	4106	65	2285-2036 calBCE (3751±32 BP, SUERC-55908)	..	England_C_EBA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809	Repulldown on 3.2M snpset	1240K	1	2.741785	791091	433917	F	n/a (no relatives detected)	n/a (female)	n/a (female)	258.1	R1b	[0.982,0.996]	0.106	0.012	ds.half	S16424.Y1.E1.L1	PASS	..	
I1774	I1774	SK2545 (NQR EX09, Round Barrow)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	3698	69	1879-1627 calBCE (3437±36 BP, UBA-28373)	..	England_C_EBA	England, Kent, Isle of Sheppey, Neats Court	United Kingdom	51.423287	0.738864	Repulldown on 3.2M snpset	1240K	1	0.088	95814	50972	M	n/a (no relatives detected)	R-M269	R1b1a1b	163	U4b1a2	[0.982,0.991]	0.088	0.46	ds.half	S1774.E1.L1	PASS	..	
I18606	I18606	ECP09 SK1772	petrous	2021	PattersonNature2021	Direct: IntCal20	3770	46	1919-1742 calBCE (3502±28 BP, SUERC-52010)	..	England_C_EBA	England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 10)	United Kingdom	54.09805556	-0.282161111	Repulldown on 3.2M snpset	1240K	1	2.676725	666465	366933	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	222	K1b1a1	[0.978,0.993]	0.124	0.454997297	ds.half	S18606.Y1.E1.L1	PASS	..	
I20997	I20997	BAWMS 07994	petrous	2021	PattersonNature2021	Context: Archaeological - Period	4075	188	2450-1800 BCE	..	England_C_EBA	England, Cumbria, Ulverston, Birkrigg Common	United Kingdom	54.162749	-3.108988	Repulldown on 3.2M snpset	1240K	1	0.965	612375	337976	M	n/a (no relatives detected)	R-A286	R1b1a1b1a1a2c1a3b	48.81	X2b4a	[0.972,0.990]	0.075	0.413	ds.half	S20997.Y1.E2.L1	PASS	..	
I2421	I2421	TWCMS Sk2008-3075 (Sunderland Museum)	petrous	2018	OlaldeNature2018	Direct: IntCal20	3790	51	1935-1751 calBCE (3524±28 BP, OxA-26256)	child, 1	England_C_EBA	England, Tyne and Wear, Sunderland, Hasting Hill	United Kingdom	54.883	-1.452	Repulldown on 3.2M snpset	1240K	1	0.459	386861	208968	M	n/a (no relatives detected)	R-S461	R1b1a1b1a1a2c	228	U5a1a2a	[0.978,0.989]	0.069	0.435	ds.half	S2421.E1.L1	PASS	..	
I2460	I2460	85684_62027	tooth	2018	OlaldeNature2018	Direct: IntCal20	3875	48	2024-1782 calBCE (3575±27 BP, SUERC-53041)	14-16	England_C_EBA	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	1	0.02	23250	12256	F	n/a (no relatives detected)	n/a (female)	n/a (female)	302	T2a1a	[0.998,1.000]	0.072	0.01	ds.half	S2460.E1.L1	PASS	..	
I2461	I2461	72832_5117	petrous	2018	OlaldeNature2018	Context: Date(s) from same site (I2600)	3975	72	2150-1900 BCE	infant, 0.5-0.7	England_C_EBA	England, Wiltshire, Porton	United Kingdom	51.13	-1.69	Repulldown on 3.2M snpset	1240K	1	2.556	770839	418190	F	n/a (no relatives detected)	n/a (female)	n/a (female)	357.823043	H5c	[0.971,0.991]	0.082	..	ds.half	S2461.E1.L2	PASS	..	
I2463	I2463	EXEKA09_246136 (Z 21)	tooth	2018	OlaldeNature2018	Direct: IntCal20	3774	53	1930-1701 calBCE (3505±35 BP, SUERC-40721)	16-19	England_C_EBA	England, Kent, East Kent Access Road	United Kingdom	51.3603	1.3405	Repulldown on 3.2M snpset	1240K	1	0.267	234333	124223	F	n/a (no relatives detected)	n/a (female)	n/a (female)	246	J1c3+189	[0.992,0.998]	0.094	0.01	ds.half	S2463.E1.L1	PASS	..	
I2464	I2464	62260_39	bone (long bone)	2018	OlaldeNature2018	Direct: IntCal20	3615	49	1746-1544 calBCE (3379±30 BP, NZA-28700)	34-45	England_C_EBA	England, Wiltshire, Boscombe Airfield	United Kingdom	51.15	-1.75	Repulldown on 3.2M snpset	1240K	1	0.046	51856	27929	M	n/a (no relatives detected)	R-M269	R1b1a1b	77.2	I2	[0.978,0.991]	0.072	0.442	ds.half	S2464.E1.L1	PASS	..	
I2598	I2598	56244_12134	tooth	2018	PattersonNature2021 (higher coverage of previously published individual in OlaldeNature2018)	Direct: IntCal20	3998	58	2139-1950 calBCE (3664±30 BP, NZA-32494)	40-50	England_C_EBA	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	2	0.161339	167696	89862	M	n/a (no relatives detected)	R-L52	R1b1a1b1a1	..	H	..	..	0.381	ds.half,ds.half	S2598.E1.L1,S2598.E1.L2	PASS	..	
I2601	I2601	EXEKA09_126005 (Z 21)	petrous	2018	OlaldeNature2018	Direct: IntCal20	3808	60	1960-1747 calBCE (3535±35 BP, SUERC-40713)	40-55	England_C_EBA	England, Kent, East Kent Access Road	United Kingdom	51.3603	1.3405	Repulldown on 3.2M snpset	1240K	1	0.882	498023	275215	F	n/a (no relatives detected)	n/a (female)	n/a (female)	19.5	U5a1b1a	[0.976,0.999]	0.078	0.012	ds.half	S2601.E1.L1	PASS	..	
I2602	I2602	EXEKA09_136128 (Z 13)	petrous	2018	OlaldeNature2018	Direct: IntCal20	3762	48	1892-1699 calBCE (3490±30 BP, SUERC-40290)	35-45	England_C_EBA	England, Kent, East Kent Access Road	United Kingdom	51.3603	1.3405	Repulldown on 3.2M snpset	1240K	1	1.616	628950	343816	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	111	U5b2b	[0.981,0.992]	0.165	0.432	ds.half	S2602.E1.L1	PASS	..	
I2604	I2604	62412_40173	petrous	2018	OlaldeNature2018	Direct: IntCal20	4073	59	2272-2032 calBCE (3730±30 BP, SUERC-26241)	18-25	England_C_EBA	England, Hampshire, Barton-Stacey Pipeline	United Kingdom	51.15	-1.36	Repulldown on 3.2M snpset	1240K	1	2.178549	759794	411993	F	n/a (no relatives detected)	n/a (female)	n/a (female)	163	H2a3	[0.983,0.994]	0.093	0.01	ds.half	S2604.E1.L2	PASS	..	
I2609	I2609	MOA 1956.46 Box 136 (Great North Museum/SANT)	tooth	2018	OlaldeNature2018	Direct: IntCal20	3848	68	2026-1769 calBCE (3560±40 BP, Poz-83423)	22-28	England_C_EBA	England, Northumberland, Hexham Golf Course	United Kingdom	54.979	-2.123	Repulldown on 3.2M snpset	1240K	1	0.33	272818	146389	F	n/a (no relatives detected)	n/a (female)	n/a (female)	160	K2a	[0.987,0.996]	0.074	0.01	ds.half	S2609.E1.L1	PASS	..	
I2610	I2610	MOA 1973.4H Box 167D, 1 (Great North Museum/SANT)	petrous	2018	OlaldeNature2018	Direct: IntCal20	3783	54	1939-1743 calBCE (3515±35 BP, Poz-83498)	18	England_C_EBA	England, Blaydon, Tyne and Wear, Bewes Hill	United Kingdom	54.97	-1.73	Repulldown on 3.2M snpset	1240K	1	0.071	78639	42950	F	n/a (no relatives detected)	n/a (female)	n/a (female)	11.2	U2e1b	[0.950,0.975]	0.072	0.011	ds.half	S2610.E1.L1	PASS	mtcontam=[0.95,0.975]	
I2612	I2612	TWCMS Sk 2008-1953, 2., diff ind. To crouched ind. (TWCMS Sk2008-1953, Sunderland Museum, find 9)	tooth	2018	OlaldeNature2018	Direct: IntCal20	4293	71	2462-2206 calBCE (3865±35 BP, Poz-83492)	..	England_C_EBA	England, Tyne and Wear, Sunderland, Hasting Hill	United Kingdom	54.883	-1.452	Repulldown on 3.2M snpset	1240K	1	0.049	54910	28628	F	n/a (no relatives detected)	n/a (female)	n/a (female)	366	U5b2b2	[0.998,1.000]	0.072	0.016	ds.half	S2612.E1.L1	PASS	..	
I2618	I2618	MOA 1964.2 Box 102A (Great North Museum/SANT)	tooth	2018	OlaldeNature2018	Direct: IntCal20	3993	57	2137-1950 calBCE (3660±28 BP, OxA-26254)	30-40	England_C_EBA	England, Northumberland, Barrasford, Reaverhill	United Kingdom	55.058	-2.147	Repulldown on 3.2M snpset	1240K	1	1.029	631499	340440	M	n/a (no relatives detected)	R-L21	R1b1a1b1a1a2c1	691	H1bs	..	0.102	0.423	ds.half	S2618.E1.L1	PASS	..	
